session_id,pupil.location,running.running_speed,drifting_gratings.orientation,drifting_gratings.temporal_frequency,static_gratings.phase,static_gratings.spatial_frequency,static_gratings.orientation,natural_scenes.frame,natural_movie_one.frame,natural_movie_two.frame,natural_movie_three.frame,locally_sparse_noise.frame
595273803.h5,False,True,True,True,False,False,False,False,True,False,True,False
504642019.h5,False,True,False,False,False,False,False,False,True,True,False,True
657223595.h5,False,True,False,False,False,False,False,False,True,True,False,True
569299884.h5,True,True,True,True,False,False,False,False,True,False,True,False
689398304.h5,False,True,False,False,False,False,False,False,True,True,False,True
544507627.h5,False,True,False,False,True,True,True,True,True,False,False,False
569396924.h5,True,True,True,True,False,False,False,False,True,False,True,False
661771052.h5,False,True,False,False,True,True,True,True,True,False,False,False
613074493.h5,False,True,False,False,True,True,True,True,True,False,False,False
652842495.h5,False,True,True,True,False,False,False,False,True,False,True,False
603551724.h5,False,True,False,False,True,True,True,True,True,False,False,False
546716391.h5,False,True,True,True,False,False,False,False,True,False,True,False
547315014.h5,False,True,False,False,False,False,False,False,True,True,False,True
510859641.h5,False,True,True,True,False,False,False,False,True,False,True,False
712923993.h5,False,True,False,False,True,True,True,True,True,False,False,False
644909644.h5,False,True,False,False,False,False,False,False,True,True,False,True
543677427.h5,False,True,False,False,False,False,False,False,True,True,False,True
657650471.h5,False,True,False,False,True,True,True,True,True,False,False,False
510712856.h5,False,True,False,False,True,True,True,True,True,False,False,False
653130708.h5,False,True,False,False,False,False,False,False,True,True,False,True
601812180.h5,False,True,False,False,False,False,False,False,True,True,False,True
510514430.h5,True,True,False,False,False,False,False,False,True,True,False,True
601910964.h5,False,True,True,True,False,False,False,False,True,False,True,False
639253043.h5,False,True,False,False,False,False,False,False,True,True,False,True
686441799.h5,False,True,True,True,False,False,False,False,True,False,True,False
644660705.h5,False,True,False,False,True,True,True,True,True,False,False,False
657081119.h5,False,True,False,False,True,True,True,True,True,False,False,False
572606382.h5,False,True,True,True,False,False,False,False,True,False,True,False
567709426.h5,True,True,False,False,True,True,True,True,True,False,False,False
590168385.h5,False,True,True,True,False,False,False,False,True,False,True,False
663478400.h5,False,True,False,False,False,False,False,False,True,True,False,True
557420967.h5,True,True,False,False,True,True,True,True,True,False,False,False
659749630.h5,False,True,False,False,True,True,True,True,True,False,False,False
578917373.h5,True,True,False,False,False,False,False,False,True,True,False,True
658816608.h5,False,True,False,False,True,True,True,True,True,False,False,False
504809131.h5,True,True,False,False,False,False,False,False,True,True,False,True
525368285.h5,False,True,False,False,False,False,False,False,True,True,False,True
657892020.h5,False,True,False,False,True,True,True,True,True,False,False,False
603519646.h5,False,True,False,False,True,True,True,True,True,False,False,False
502793808.h5,False,True,True,True,False,False,False,False,True,False,True,False
645691416.h5,False,True,False,False,True,True,True,True,True,False,False,False
673173248.h5,False,True,False,False,True,True,True,True,True,False,False,False
560578599.h5,True,True,True,True,False,False,False,False,True,False,True,False
657649512.h5,False,True,False,False,False,False,False,False,True,True,False,True
606227591.h5,False,True,False,False,False,False,False,False,True,True,False,True
537153918.h5,False,True,False,False,False,False,False,False,True,True,False,True
501729039.h5,True,True,True,True,False,False,False,False,True,False,True,False
679702884.h5,False,True,True,True,False,False,False,False,True,False,True,False
647605431.h5,False,True,False,False,True,True,True,True,True,False,False,False
698768912.h5,False,True,False,False,False,False,False,False,True,True,False,True
614556106.h5,False,True,True,True,False,False,False,False,True,False,True,False
702934681.h5,False,True,False,False,False,False,False,False,True,True,False,True
583137106.h5,False,True,False,False,True,True,True,True,True,False,False,False
598330857.h5,False,True,False,False,False,False,False,False,True,True,False,True
588497080.h5,False,True,False,False,True,True,True,True,True,False,False,False
502665019.h5,True,True,False,False,False,False,False,False,True,True,False,True
601423209.h5,False,True,True,True,False,False,False,False,True,False,True,False
653923501.h5,False,True,False,False,True,True,True,True,True,False,False,False
639252499.h5,False,True,False,False,True,True,True,True,True,False,False,False
582867147.h5,True,True,True,True,False,False,False,False,True,False,True,False
577663639.h5,True,True,False,False,False,False,False,False,True,True,False,True
576373003.h5,False,True,False,False,True,True,True,True,True,False,False,False
658020691.h5,False,True,True,True,False,False,False,False,True,False,True,False
557984485.h5,True,True,False,False,True,True,True,True,True,False,False,False
647603932.h5,False,True,True,True,False,False,False,False,True,False,True,False
670395999.h5,False,True,True,True,False,False,False,False,True,False,True,False
647148822.h5,False,True,False,False,True,True,True,True,True,False,False,False
529487172.h5,True,True,False,False,True,True,True,True,True,False,False,False
571642389.h5,False,True,True,True,False,False,False,False,True,False,True,False
509962140.h5,False,True,False,False,True,True,True,True,True,False,False,False
591300156.h5,False,True,False,False,False,False,False,False,True,True,False,True
